"","meansd","Age","Money","Health","Social"
"Age","51.98 (18.66)","1","","",""
"Money","27.23 (13.92)","0.1","1","",""
"Health","30.23 (13.76)","0.224","0.51","1",""
"Social","33.19 (12.79)","0.285","0.401","0.566","1"
